,gandaki_pradesh,,,,
1,Besishahar,"""","""",",","Besishahar,"
2,Dordi,,,",","Dordi,"
3,Dudhpokhari,,,",","Dudhpokhari,"
4,Kwholasothar,,,",","Kwholasothar,"
5,MadhyaNepal,,,",","MadhyaNepal,"
6,Marsyangdi,,,",","Marsyangdi,"
7,Rainas,,,",","Rainas,"
8,Sundarbazar,,,",","Sundarbazar,"
9,Anbukhaireni,,,",","Anbukhaireni,"
10,Bandipur,,,",","Bandipur,"
11,Bhanu,,,",","Bhanu,"
12,Bhimad,,,",","Bhimad,"
13,Byas,,,",","Byas,"
14,Devghat,,,",","Devghat,"
15,Ghiring,,,",","Ghiring,"
16,Myagde,,,",","Myagde,"
17,Rhishing,,,",","Rhishing,"
18,Shuklagandaki,,,",","Shuklagandaki,"
19,Aandhikhola,,,",","Aandhikhola,"
20,Arjunchaupari,,,",","Arjunchaupari,"
21,Bhirkot,,,",","Bhirkot,"
22,Biruwa,,,",","Biruwa,"
23,Chapakot,,,",","Chapakot,"
24,Galyang,,,",","Galyang,"
25,Harinas,,,",","Harinas,"
26,Kaligandagi,,,",","Kaligandagi,"
27,Phedikhola,,,",","Phedikhola,"
28,Putalibazar,,,",","Putalibazar,"
29,Waling,,,",","Waling,"
30,Annapurna,,,",","Annapurna,"
31,Machhapuchchhre,,,",","Machhapuchchhre,"
32,Madi,,,",","Madi,"
33,Pokhara Lekhnath,,,",","Pokhara Lekhnath,"
34,Rupa,,,",","Rupa,"
35,Chame,,,",","Chame,"
36,Narphu,,,",","Narphu,"
37,Nashong,,,",","Nashong,"
38,Neshyang,,,",","Neshyang,"
39,Barhagaun Muktikhsetra,,,",","Barhagaun Muktikhsetra,"
40,Dalome,,,",","Dalome,"
41,Gharapjhong,,,",","Gharapjhong,"
42,Lomanthang,,,",","Lomanthang,"
43,Thasang,,,",","Thasang,"
44,Beni,,,",","Beni,"
45,Dhaulagiri,,,",","Dhaulagiri,"
46,Malika,,,",","Malika,"
47,Mangala,,,",","Mangala,"
48,Raghuganga,,,",","Raghuganga,"
49,Dhorpatan Hunting Reserve,,,",","Dhorpatan Hunting Reserve,"
50,Bihadi,,,",","Bihadi,"
51,Jaljala,,,",","Jaljala,"
52,Kushma,,,",","Kushma,"
53,Mahashila,,,",","Mahashila,"
54,Modi,,,",","Modi,"
55,Painyu,,,",","Painyu,"
56,Phalebas,,,",","Phalebas,"
57,Badigad,,,",","Badigad,"
58,Baglung,,,",","Baglung,"
59,Bareng,,,",","Bareng,"
60,Dhorpatan,,,",","Dhorpatan,"
61,Galkot,,,",","Galkot,"
62,Jaimuni,,,",","Jaimuni,"
63,Kanthekhola,,,",","Kanthekhola,"
64,Nisikhola,,,",","Nisikhola,"
65,Taman Khola,,,",","Taman Khola,"
66,Tara Khola,,,",","Tara Khola,"
67,Aarughat,,,",","Aarughat,"
68,Ajirkot,,,",","Ajirkot,"
69,Bhimsen,,,",","Bhimsen,"
70,Chum Nubri,,,",","Chum Nubri,"
71,Dharche,,,",","Dharche,"
72,Gandaki,,,",","Gandaki,"
73,Gorkha,,,",","Gorkha,"
74,Palungtar,,,",","Palungtar,"
75,Sahid Lakhan,,,",","Sahid Lakhan,"
76,Siranchok,,,",","Siranchok,"
77,Sulikot,,,",","Sulikot,"
78,Chitawan National Park,,,",","Chitawan National Park,"
79,Binayee Tribeni,,,",","Binayee Tribeni,"
80,Bulingtar,,,",","Bulingtar,"
81,Bungdikali,,,",","Bungdikali,"
82,Devchuli,,,",","Devchuli,"
83,Gaidakot,,,",","Gaidakot,"
84,Hupsekot,,,",","Hupsekot,"
85,Kawasoti,,,",","Kawasoti,"
86,Madhyabindu,,,",","Madhyabindu,"
